"Step","[palm,9k]L1R24H12_crate_recur24 - test_acc/testNN_board[24]","[palm,9k]L1R24H12_crate_recur24 - test_acc/testNN_board[24]__MIN","[palm,9k]L1R24H12_crate_recur24 - test_acc/testNN_board[24]__MAX","[palm,9k]L1R24H12_et - test_acc/testNN_board[24]","[palm,9k]L1R24H12_et - test_acc/testNN_board[24]__MIN","[palm,9k]L1R24H12_et - test_acc/testNN_board[24]__MAX","[palm,9k]L1R24H12_crate - test_acc/testNN_board[24]","[palm,9k]L1R24H12_crate - test_acc/testNN_board[24]__MIN","[palm,9k]L1R24H12_crate - test_acc/testNN_board[24]__MAX","[palm,9k]L1R24H12_reproduce_icml - test_acc/testNN_board[24]","[palm,9k]L1R24H12_reproduce_icml - test_acc/testNN_board[24]__MIN","[palm,9k]L1R24H12_reproduce_icml - test_acc/testNN_board[24]__MAX","[palm,9k]L1R24H12_dim768_layer1_recur24_transformer_baseline_2midrmsnorm_512GELU_best_adamw0.1_newcondition_multiplier4_input_cond_lrdecay - test_acc/testNN_board[24]","[palm,9k]L1R24H12_dim768_layer1_recur24_transformer_baseline_2midrmsnorm_512GELU_best_adamw0.1_newcondition_multiplier4_input_cond_lrdecay - test_acc/testNN_board[24]__MIN","[palm,9k]L1R24H12_dim768_layer1_recur24_transformer_baseline_2midrmsnorm_512GELU_best_adamw0.1_newcondition_multiplier4_input_cond_lrdecay - test_acc/testNN_board[24]__MAX"
"148","0","0","0","0","0","0","0","0","0","54.4","54.4","54.4","48.1","48.1","48.1"
"149","0","0","0","0","0","0","0","0","0","54.3","54.3","54.3","48.9","48.9","48.9"
"150","0","0","0","0","0","0","0","0","0","53.5","53.5","53.5","48","48","48"
"151","0","0","0","0","0","0","0","0","0","51.2","51.2","51.2","48.2","48.2","48.2"
"152","0","0","0","0","0","0","0","0","0","52.8","52.8","52.8","46.9","46.9","46.9"
"153","0","0","0","0","0","0","0","0","0","54.3","54.3","54.3","48.3","48.3","48.3"
"154","0","0","0","0","0","0","0","0","0","52.7","52.7","52.7","49.5","49.5","49.5"
"155","0","0","0","0","0","0","0","0","0","54.4","54.4","54.4","48","48","48"
"156","0","0","0","0","0","0","0","0","0","54.9","54.9","54.9","48.9","48.9","48.9"
"157","0","0","0","0","0","0","0","0","0","53.5","53.5","53.5","50","50","50"
"158","0","0","0","0","0","0","0","0","0","54.4","54.4","54.4","49.3","49.3","49.3"
"159","0","0","0","0","0","0","0","0","0","55.3","55.3","55.3","49.5","49.5","49.5"
"160","0","0","0","0","0","0","0","0","0","54.9","54.9","54.9","50.3","50.3","50.3"
"161","0","0","0","0","0","0","0","0","0","54.4","54.4","54.4","49.5","49.5","49.5"
"162","0","0","0","0","0","0","0","0","0","55.8","55.8","55.8","48.6","48.6","48.6"
"163","0","0","0","0","0","0","0","0","0","55.8","55.8","55.8","47.4","47.4","47.4"
"164","0","0","0","0","0","0","0","0","0","54.6","54.6","54.6","48.8","48.8","48.8"
"165","0","0","0","0","0","0","0","0","0","54.3","54.3","54.3","48.6","48.6","48.6"
"166","0","0","0","0","0","0","0","0","0","54.9","54.9","54.9","49.4","49.4","49.4"
"167","0","0","0","0","0","0","0","0","0","56.7","56.7","56.7","49.2","49.2","49.2"
"168","0","0","0","0","0","0","0","0","0","56.5","56.5","56.5","48.8","48.8","48.8"
"169","0","0","0","0","0","0","0","0","0","55.9","55.9","55.9","49.5","49.5","49.5"
"170","0","0","0","0","0","0","0","0","0","57.5","57.5","57.5","49.3","49.3","49.3"
"171","0","0","0","0","0","0","0","0","0","56.3","56.3","56.3","48","48","48"
"172","0","0","0","0","0","0","0","0","0","55.4","55.4","55.4","49.6","49.6","49.6"
"173","0","0","0","0","0","0","0","0","0","56.6","56.6","56.6","50.4","50.4","50.4"
"174","0","0","0","0","0","0","0","0","0","56.1","56.1","56.1","49.6","49.6","49.6"
"175","0","0","0","0","0","0","0","0","0","55.7","55.7","55.7","49.1","49.1","49.1"
"176","0","0","0","0","0","0","0","0","0","55.7","55.7","55.7","49","49","49"
"177","0","0","0","0","0","0","0","0","0","56.9","56.9","56.9","49.7","49.7","49.7"
"178","0","0","0","0","0","0","0","0","0","55.8","55.8","55.8","49.7","49.7","49.7"
"179","0","0","0","0","0","0","0","0","0","56.1","56.1","56.1","48.9","48.9","48.9"
"180","0","0","0","0","0","0","0","0","0","56.3","56.3","56.3","49.1","49.1","49.1"
"181","0","0","0","0","0","0","0","0","0","55.3","55.3","55.3","49","49","49"
"182","0","0","0","0","0","0","0","0","0","55.8","55.8","55.8","49.3","49.3","49.3"
"183","0","0","0","0","0","0","0","0","0","56","56","56","49.4","49.4","49.4"
"184","0","0","0","0","0","0","0","0","0","55.8","55.8","55.8","49.1","49.1","49.1"
"185","0","0","0","0","0","0","0","0","0","55.7","55.7","55.7","49.1","49.1","49.1"
"186","0","0","0","0","0","0","0","0","0","55.1","55.1","55.1","49.2","49.2","49.2"
"187","0","0","0","0","0","0","0","0","0","55.1","55.1","55.1","49","49","49"
"188","0","0","0","0","0","0","0","0","0","55","55","55","49.2","49.2","49.2"
"189","0","0","0","0","0","0","0","0","0","54.9","54.9","54.9","49.1","49.1","49.1"
"190","0","0","0","0","0","0","0","0","0","54.8","54.8","54.8","49.2","49.2","49.2"
"191","0","0","0","0","0","0","0","0","0","54.8","54.8","54.8","49.1","49.1","49.1"
"192","0","0","0","0","0","0","0","0","0","54.7","54.7","54.7","49.2","49.2","49.2"
"193","0","0","0","0","0","0","0","0","0","54.8","54.8","54.8","49.1","49.1","49.1"
"194","0","0","0","0","0","0","0","0","0","54.5","54.5","54.5","49.1","49.1","49.1"
"195","0","0","0","0","0","0","0","0","0","54.8","54.8","54.8","49.2","49.2","49.2"
"196","0","0","0","0","0","0","0","0","0","54.9","54.9","54.9","49","49","49"
"197","0","0","0","0","0","0","0","0","0","54.7","54.7","54.7","49","49","49"
"198","0","0","0","0","0","0","0","0","0","54.8","54.8","54.8","49","49","49"
"199","0","0","0","0","0","0","0","0","0","54.9","54.9","54.9","49.1","49.1","49.1"
"200","0","0","0","0","0","0","0","0","0","54.8","54.8","54.8","49.1","49.1","49.1"
